       Node,    Mode,   Dis
      34,      23,      1.768250E-15,      5.798596E-04,      1.227765E-15,      1.503731E-16,      1.622749E-15,      5.011201E-04	
      41,      23,     -1.137492E-16,     -8.396745E-04,     -8.205554E-16,      2.838791E-16,      2.027109E-16,     -4.060372E-04	
      49,      23,      3.352866E-16,      1.179897E-03,      2.057735E-15,      4.365081E-16,     -1.049012E-15,     -1.843072E-15	
      57,      23,      2.500471E-16,     -8.396745E-04,     -2.177591E-15,      5.889486E-16,      5.866518E-16,      4.060372E-04	
      65,      23,     -3.506790E-15,      3.304540E-05,      2.253266E-15,      7.415761E-16,     -9.012230E-16,     -5.696612E-04	


       Node,    Mode,   Dis
       1,      24,      0.000000E+00,      0.000000E+00,     -3.647876E-20,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      24,      0.000000E+00,      0.000000E+00,      5.940222E-20,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      24,     -1.187554E-03,      1.807076E-15,      4.450317E-16,     -8.359149E-16,      3.888443E-16,     -1.295419E-15	
      34,      24,     -1.045299E-03,      8.014770E-16,      1.500929E-16,     -8.451937E-16,      1.065363E-16,     -4.260249E-16	
      41,      24,      1.031615E-03,     -1.524590E-15,     -4.645302E-16,     -9.112190E-16,      5.967226E-16,     -8.535079E-16	
      49,      24,     -1.682312E-04,      1.315521E-15,      1.259367E-15,     -9.865732E-16,      3.857024E-16,     -6.834959E-17	
      57,      24,     -8.105190E-04,      7.419567E-16,     -8.430913E-16,     -1.061979E-15,      3.449513E-16,      7.859414E-16	
      65,      24,      1.233445E-03,      4.186159E-16,      4.797835E-16,     -1.137377E-15,      7.974488E-17,      1.099919E-15	


       Node,    Mode,   Dis
       1,      25,      0.000000E+00,      0.000000E+00,      3.174451E-10,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      25,      0.000000E+00,      0.000000E+00,      3.174451E-10,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      25,      3.807249E-15,      5.064500E-15,      1.023952E-03,      8.846405E-05,      5.132469E-04,     -4.122965E-15	
      34,      25,      1.824641E-15,      1.274661E-15,      5.146691E-04,      8.846405E-05,      5.013539E-04,     -3.123856E-15	
      41,      25,     -6.223801E-15,     -3.409999E-15,     -9.662504E-04,      8.846405E-05,     -1.928695E-04,     -1.435947E-16	
      49,      25,      3.125925E-15,     -2.357377E-15,      1.197006E-03,      8.846405E-05,      1.375660E-15,     -1.133758E-15	
